,region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,q_mean_mm,q_sd_mm,record_len_years,camels_q_mean_mm,n_years,log_drainage_area_km2,n_complete_years,tmean,replaced_zero_flow_uar_mean,replaced_zero_flow_uar_median,replaced_zero_flow_uar_mad,replaced_zero_flow_uar_std,replaced_zero_flow_uar_skew,replaced_zero_flow_uar_kurt,log_uar_mean,log_uar_median,log_uar_mad,log_uar_std,log_uar_skew,log_uar_kurt
3,ERK,05014000,25.1,-113.698324554865,48.7473030655042,-1360.49,6.84797,0.34,0.21,0.38,0.02,0.02,0.01,0.02,0.0,0.0,0.31,0.24,0.39,0.02,0.02,0.01,0.02,0.0,-0.01,0.29,0.24,0.39,0.02,0.02,0.01,0.02,0.01,0.0,28.569471,313.261476528284,2050.3887,2054.7681,3014.0505,1505.3654,2054.7681,1733.6,-3.9,5.8,532.1,591.3,308.6,3.8,0.6,1.0,0.0,2.55356033103277,3.27402540035413,29,,28,3.26193531432865,,0.95,3.5289177894592285,3.5867319107055664,1.3464187383651733,1.556548833847046,-0.2161465436220169,-0.9994114637374878,3.5289177894592285,3.5867319107055664,1.3464187383651733,1.556548833847046,-0.2161465436220169,-0.9994114637374878
4,ERK,05014500,79.6,-113.70672430639,48.7825781796589,-1432.37,8.54318,0.43,0.25,0.26,0.02,0.02,0.01,0.02,0.0,-0.01,0.42,0.25,0.27,0.02,0.02,0.0,0.02,0.0,0.0,0.41,0.25,0.27,0.02,0.02,0.01,0.02,0.0,0.0,28.078302,255.79081282083,1959.3929,1964.2886,2912.1887,1488.0842,1964.2886,1604.5,-3.6,6.5,543.1,492.1,307.5,3.9,0.6,1.0,0.0,4.49138113780941,5.77298156875147,69,,68,4.38949864951258,,1.45,3.268996000289917,3.138768196105957,0.9742934703826904,1.158314824104309,0.21914121508598328,-0.26822376251220703,3.268996000289917,3.138768196105957,0.9742934703826904,1.158314824104309,0.21914121508598328,-0.26822376251220703
5,ERK,05017500,710.7,-113.56591015229,48.721542079282,-1436.65,12.32556,0.47,0.17,0.29,0.01,0.01,0.0,0.04,0.0,0.01,0.45,0.17,0.3,0.01,0.01,0.0,0.05,0.0,0.01,0.44,0.21,0.26,0.01,0.02,0.01,0.05,0.01,-0.01,20.913616,345.753753989434,1814.8259,1857.2651,3062.9473,1363.9064,1857.2651,1335.2,-2.9,7.5,567.1,367.6,301.8,4.1,0.7,1.0,0.0,2.60196441836657,3.02039664976885,69,,68,6.56765647430523,,2.3,2.716677188873291,2.704624891281128,1.114092230796814,1.2468180656433105,0.027280107140541077,-1.2699803113937378,2.716677188873291,2.704624891281128,1.114092230796814,1.2468180656433105,0.027280107140541077,-1.2699803113937378
6,ERK,05AA008,402.9,-114.555133514517,49.634643307048,-1507.61,15.45272,0.64,0.1,0.21,0.02,0.01,0.02,0.0,0.0,0.0,0.63,0.11,0.22,0.01,0.01,0.02,0.0,0.0,0.0,0.61,0.12,0.22,0.01,0.01,0.02,0.01,0.0,0.0,15.057178,95.682564210088,1661.9714,1705.9473,2799.1418,1280.0974,1705.9473,799.4,-3.7,7.2,531.5,156.7,284.0,4.4,0.7,1.0,0.1,1.09904963476822,1.38819503297556,69,,68,6.00116732256937,58.0,1.75,2.061863660812378,1.8339409828186035,0.7442838549613953,0.9038494229316711,0.7296620607376099,-0.2627112865447998,2.061863660812378,1.8339409828186035,0.7442838549613953,0.9038494229316711,0.7296620607376099,-0.2627112865447998
7,ERK,05AA022,820.6,-114.367910879131,49.3743737912964,-1397.57,8.62704,0.55,0.15,0.25,0.01,0.03,0.0,0.0,0.0,0.0099999999999998,0.54,0.17,0.25,0.01,0.03,0.0,0.0,0.0,0.0,0.52,0.22,0.24,0.01,0.01,0.0,0.0,0.0,0.0,16.131596,60.754588989085,1671.9384,1714.5967,2759.7065,1193.3268,1714.5967,932.4,-3.0,7.2,559.4,203.7,288.4,4.5,0.7,1.0,0.1,1.62547865812631,2.6711277829701,68,,68,6.71125365861435,72.0,2.1,2.153261184692383,1.812082290649414,0.9538556933403015,1.1521856784820557,0.7610426545143127,-0.3888826370239258,2.153261184692383,1.812082290649414,0.9538556933403015,1.1521856784820557,0.7610426545143127,-0.3888826370239258
8,ERK,05AA023,1447.8,-114.471124234491,49.9599813289081,-1545.38,17.50991,0.71,0.1,0.18,0.01,0.01,0.0,0.0,0.0,-0.01,0.7,0.1,0.18,0.0,0.01,0.0,0.0,0.0,0.01,0.69,0.11,0.19,0.0,0.01,0.0,0.0,0.0,0.0,14.753471,97.4410697221071,1848.0371,1857.3859,3064.323,1272.33,1857.3859,738.9,-4.5,6.4,506.4,155.8,287.4,4.6,0.7,1.0,0.1,0.765006571711812,1.28681259740134,59,,59,7.2784909065692,59.0,0.9500000000000002,1.4681259393692017,1.1976600885391235,0.875408947467804,1.0832220315933228,0.8166714906692505,-0.055565137416124344,1.4681259393692017,1.1976600885391235,0.875408947467804,1.0832220315933228,0.8166714906692505,-0.055565137416124344
9,ERK,05AA035,1837.9,-114.392622139741,49.938908911853,-1486.82,15.64992,0.62,0.14,0.21,0.01,0.02,0.0,0.0,0.0,0.0,0.62,0.14,0.22,0.01,0.02,0.0,0.0,0.0,-0.01,0.6,0.14,0.25,0.0,0.01,0.0,0.0,0.0,0.0,13.193043,117.555650908086,1760.9982,1769.4253,3064.323,1187.3035,1769.4253,702.5,-4.1,7.0,518.3,138.0,286.8,4.8,0.7,1.0,0.1,0.773177409305936,1.44985738023787,7,,7,7.51692284574681,14.0,1.4500000000000002,1.3000905513763428,1.0249245166778564,0.8708850145339966,1.0804730653762817,0.8581913113594055,0.07630357891321182,1.3000905513763428,1.0249245166778564,0.8708850145339966,1.0804730653762817,0.8581913113594055,0.07630357891321182
10,ERK,05AB022,1.4,-114.068624282464,50.1018871525851,-1520.0,19.0,0.87,0.05,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.84,0.07,0.07,0.01,0.01,0.0,0.0,0.0,0.0,0.15,0.81,0.04,0.0,0.0,0.0,0.0,0.0,0.0,12.137738,353.224484825441,1530.0835,1532.9474,1697.9468,1403.3276,1532.9474,571.4,-3.0,8.8,549.1,71.1,275.3,5.8,0.8,1.0,0.1,0.0546564308369473,0.243413583824598,7,,7,0.8754687373539,6.0,2.9000000000000004,-2.22096586227417,-2.6173958778381348,0.709873378276825,1.2162400484085083,3.022792339324951,8.0166597366333,-2.22096586227417,-2.6173958778381348,0.709873378276825,1.2162400484085083,3.022792339324951,8.0166597366333
11,ERK,05AB030,6.1,-114.060252411297,50.1091177165784,-1520.0,19.0,0.73,0.07,0.1,0.01,0.08,0.0,0.0,0.0,0.01,0.73,0.08,0.1,0.02,0.08,0.0,0.0,0.0,-0.01,0.06,0.89,0.05,0.0,0.0,0.0,0.0,0.0,0.0,10.999665,359.640402447461,1461.5339,1464.7528,1697.9468,1321.0,1464.7528,549.4,-2.8,9.3,552.6,63.6,276.0,5.8,0.8,1.0,0.1,0.194604498147931,0.474143797044518,21,,19,1.96009478404727,5.0,3.2500000000000004,-0.5247232913970947,-0.3987760841846466,1.3728361129760742,1.7979663610458374,-0.23509623110294342,-0.00456015532836318,-0.5247232913970947,-0.3987760841846466,1.3728361129760742,1.7979663610458374,-0.23509623110294342,-0.00456015532836318
12,ERK,05AD003,617.3,-113.959022256755,49.0174170754785,-1471.57,8.75434,0.55,0.13,0.25,0.01,0.01,0.0,0.03,0.0,0.02,0.54,0.16,0.24,0.01,0.01,0.0,0.03,0.0,0.0099999999999998,0.38,0.18,0.37,0.01,0.02,0.0,0.03,0.0,0.0099999999999998,23.167273,349.791155313954,1846.6346,1833.0974,3187.4797,1274.2689,1833.0974,1303.9,-3.1,7.0,562.0,360.7,299.4,4.0,0.7,1.0,0.0,2.50461195705253,3.66915350519655,66,,66,6.42697377656452,73.0,1.95,2.6762800216674805,2.3678553104400635,0.9213710427284241,1.1046671867370605,0.6919678449630737,-0.5273638963699341,2.6762800216674805,2.3678553104400635,0.9213710427284241,1.1046671867370605,0.6919678449630737,-0.5273638963699341
15,ERK,05BA001,426.9,-116.352409830302,51.5863249884305,-1325.41,11.09095,0.42,0.03,0.35,0.01,0.01,0.02,0.04,0.13,-0.01,0.41,0.03,0.39,0.01,0.01,0.02,0.04,0.09,0.0,0.42,0.03,0.4,0.01,0.01,0.02,0.04,0.07,0.0,17.657234,157.92843192733,2201.8984,2199.0891,3330.2544,1559.8314,2199.0891,917.1,-7.2,3.1,411.5,406.1,300.9,3.4,0.6,1.0,0.0,2.61033308404114,2.42181357445398,54,,53,6.05888952342277,20.0,-2.05,2.9173576831817627,3.038745403289795,1.0027621984481812,1.1307613849639893,-0.19363395869731903,-1.3097513914108276,2.9173576831817627,3.038745403289795,1.0027621984481812,1.1307613849639893,-0.19363395869731903,-1.3097513914108276
16,ERK,05BB001,2210.5,-116.010586954251,51.3602361379286,-1396.83,13.99387,0.51,0.04,0.35,0.01,0.01,0.01,0.02,0.05,0.0,0.5,0.04,0.38,0.01,0.01,0.01,0.02,0.03,0.0,0.49,0.04,0.39,0.01,0.01,0.01,0.01,0.02,0.02,19.713493,96.7822306286978,2165.0339,2140.7561,3491.4385,1399.4758,2140.7561,808.0,-7.0,3.8,419.3,310.3,296.6,3.8,0.6,1.0,0.0,1.51518564284555,1.72558978435105,68,,69,7.70142629730838,74.0,-1.6,2.3294548988342285,2.040404796600342,0.8802955746650696,1.001747727394104,0.5472942590713501,-1.0263774394989014,2.3294548988342285,2.040404796600342,0.8802955746650696,1.001747727394104,0.5472942590713501,-1.0263774394989014
